Class 1,Class 2,Sematic Cosine Similarity Without VGG Feat,Sematic Cosine Similarity Wit VGG Feat
fish,crocodile,0.4744032621383667,0.49040611955426394
fish,cup,0.09138605743646622,0.12652599038519352
fish,dinosaur,0.2547897398471832,0.2807857179874076
fish,dolphin,0.5913069844245911,0.6047541585426346
fish,elephant,0.2726871371269226,0.2982286364837048
fish,flatfish,0.6572572588920593,0.667918090804661
fish,forest,0.2152932733297348,0.24424198240852724
fish,fox,0.3433302342891693,0.3677518105593789
fish,girl,0.10727998614311218,0.14327511366928358
fish,hamster,0.20155882835388184,0.23019965295946254
fish,house,0.0837775319814682,0.13154063030622398
fish,kangaroo,0.2935554087162018,0.31820989036181846
fish,keyboard,0.04917138069868088,0.08265287959396572
fish,lamp,0.11842221021652222,0.1502256939344837
fish,mower,0.13778482377529144,0.1649831681826298
fish,leopard,0.28007954359054565,0.30283917745957867
fish,lion,0.24220553040504456,0.27151840371787705
fish,lizard,0.43749305605888367,0.45856227105397473
fish,lobster,0.6222221255302429,0.6348944432199304
fish,man,0.1513897180557251,0.19324733082192858
fish,maple,0.24556539952754974,0.2711534874906312
fish,motorcycle,0.10407784581184387,0.1392789362399277
fish,mountain,0.0686466321349144,0.1074100308583692
fish,mouse,0.2078370600938797,0.2372781323650044
fish,mushroom,0.3750341236591339,0.39996998812046347
fish,oak,0.24985377490520477,0.27460405871409954
fish,orange,0.12190253287553787,0.1589495070253515
fish,orchid,0.3226812779903412,0.3440473602134272
fish,otter,0.5515437722206116,0.5668284967616178
fish,palm,0.15794584155082703,0.1884996204889996
fish,pear,0.26324978470802307,0.2912514892651453
fish,truck,0.17058594524860382,0.20484621256653568
fish,pine,0.18354661762714386,0.2159189739284565
fish,plain,0.009899668395519257,0.05965592835163702
fish,plate,0.15361222624778748,0.18635376783609292
fish,poppy,0.13039296865463257,0.15641792967616597
fish,porcupine,0.2710372805595398,0.29588721983828503
fish,possum,0.34557393193244934,0.36899976699033976
fish,rabbit,0.3886445164680481,0.414099579982693
fish,raccoon,0.3108063042163849,0.33386427516559325
fish,ray,0.15870918333530426,0.18782162875785746
fish,road,-0.0014475970529019833,0.04600181551234295
fish,rocket,0.07985560595989227,0.1104163388106455
fish,rose,0.07725127786397934,0.10820828417839179
fish,sea,0.32500579953193665,0.3540468800563259
fish,seal,0.21572957932949066,0.24802838232108626
fish,shark,0.5278308391571045,0.5411004757883648
fish,shrew,0.2028052806854248,0.2292533618632132
fish,skunk,0.2826608717441559,0.30887566713003456
fish,skyscraper,0.036481697112321854,0.06799068410352982
fish,snail,0.40153205394744873,0.4233515062044775
fish,snake,0.36714228987693787,0.39221274961686525
fish,spider,0.3515397012233734,0.3747611637482302
fish,squirrel,0.39042699337005615,0.4135289948025227
fish,streetcar,0.014910085126757622,0.04467814358916211
fish,sunflower,0.27154889702796936,0.2996476375596031
fish,pepper,0.21716533601284027,0.24368171035265618
fish,table,0.1376783698797226,0.1762247873236411
fish,tank,0.16129404306411743,0.19267970916217902
fish,telephone,0.03607800230383873,0.07526714986226524
fish,television,0.06860027462244034,0.11204761584493506
fish,tiger,0.3333571255207062,0.35575515034654936
fish,tractor,0.15370643138885498,0.1849531483730883
fish,train,-0.017533455044031143,0.026833297665594613
fish,trout,0.7780654430389404,0.783971156428374
fish,tulip,0.17820823192596436,0.20660462357376408
fish,turtle,0.5404354929924011,0.5571938110260648
fish,wardrobe,0.006766265258193016,0.04171028102823793
fish,whale,0.5517761707305908,0.5658332340575817
fish,tree,0.19041961431503296,0.22143892096316153
fish,wolf,0.3609369099140167,0.3803039213474373
fish,woman,0.08453324437141418,0.12481382570550803
fish,worm,0.3387805223464966,0.3608135045653631
baby,apple,0.17199209332466125,0.20736061656171667
baby,fish,0.20362381637096405,0.23548009858811214
baby,bear,0.17101144790649414,0.20880816808159686
baby,beaver,0.1966589391231537,0.22832051458248137
baby,bed,0.3540608882904053,0.38580596885517005
baby,bee,0.14534306526184082,0.180064180781782
baby,beetle,0.15283681452274323,0.18162415126792109
baby,bicycle,0.17946483194828033,0.21660027882221877
baby,bottle,0.3118937313556671,0.34155903757284867
baby,bowl,0.13213621079921722,0.16381184175486452
baby,boy,0.5193882584571838,0.5414582616796804
baby,bridge,0.0670030489563942,0.10916347454681363
baby,bus,0.0890476331114769,0.13010664954826212
baby,butterfly,0.12325583398342133,0.1563548995945614
baby,camel,0.2100672721862793,0.24088142967352988
baby,can,0.07384440302848816,0.1327847180962699
baby,castle,0.07251469790935516,0.11218484078372337
baby,caterpillar,0.24831193685531616,0.2769307231340097
baby,cattle,0.21668237447738647,0.24699537416712325
baby,chair,0.07636802643537521,0.11837489123053924
baby,chimpanzee,0.27458199858665466,0.2969278229901703
baby,clock,0.0805254802107811,0.11971052927596859
baby,cloud,0.05280349776148796,0.09088442004477892
baby,cockroach,0.19412539899349213,0.22846853676938517
baby,couch,0.32543686032295227,0.3545913807695926
baby,crab,0.09693841636180878,0.13070547245702802
baby,crocodile,0.2596558630466461,0.28433044205919755
baby,cup,0.13292814791202545,0.16967526506014474
baby,dinosaur,0.2527965009212494,0.2815686166125253
baby,dolphin,0.3150748312473297,0.34003283552577246
baby,elephant,0.2925034165382385,0.319891442140819
baby,flatfish,0.1387336254119873,0.16953280035262308
baby,forest,0.0324237085878849,0.07152846669644275
baby,fox,0.22123867273330688,0.2528491087416105
